year,age,midYearWt_3LNO,springWt_3LNO,springM_3LNO
1969,1,0.757393595,0.19988905,4.633991964
1969,2,3.878625049,1.857274519,2.353317359
1969,3,12.9940304,7.868849388,1.504318243
1969,4,36.14066302,24.7888558,1.065617372
1969,5,76.02677885,56.12192683,0.830074691
1969,6,109.7602941,84.01766789,0.723255337
1969,7,187.5971942,149.7170741,0.604752274
1969,8,282.8552491,233.1682189,0.53115983
1969,9,394.5523728,331.5718158,0.473496278
1969,10,683.2316335,583.805036,0.395129013
1969,11,893.5333354,776.4852706,0.362355297
1969,12,1184.498692,1050.3878,0.330387321
1969,13,1504.011797,1355.930213,0.305491467
1969,14,1834.74184,1691.158657,0.285331203
1969,15,2134.792858,1987.231416,0.271863948
1969,16,2423.206628,2284.31032,0.260735549
1970,1,0.791596121,0.208786663,4.572668911
1970,2,3.529406311,1.68769662,2.43473744
1970,3,13.03762424,7.846222302,1.517136637
1970,4,32.61263109,22.19480179,1.095020453
1970,5,67.0620155,49.15342528,0.861100175
1970,6,119.7146732,91.87255748,0.705616324
1970,7,174.5525663,138.4235424,0.617431329
1970,8,288.406479,235.8155462,0.525518764
1970,9,414.5359362,348.5980634,0.46951893
1970,10,558.7811683,479.2932775,0.423411286
1970,11,923.9204846,801.1632994,0.358725304
1970,12,1154.261853,1022.373579,0.333224375
1970,13,1474.579924,1327.749944,0.307487437
1970,14,1813.531043,1668.806402,0.286489959
1970,15,2124.550671,1974.957394,0.272370432
1970,16,2422.439694,2280.552534,0.260850778
1970,17,2705.041511,2571.093939,0.250909897
1971,1,0.822771372,0.217015592,4.520668367
1971,2,3.686146735,1.761863141,2.404116911
1971,3,11.95948379,7.175596541,1.564862437
1971,4,33.59025117,22.79859157,1.095873922
1971,5,61.55552608,44.71842396,0.880889624
1971,6,107.6465769,81.97455,0.728688227
1971,7,189.8727583,150.9709341,0.602279586
1971,8,270.8835125,220.1595409,0.53509879
1971,9,425.307354,355.7364408,0.463163333
1971,10,590.743508,507.0121622,0.418866892
1971,11,765.7065313,666.187496,0.382999608
1971,12,1199.108626,1059.960737,0.329368326
1971,13,1440.299647,1295.242755,0.309887606
1971,14,1787.467092,1641.931004,0.287930184
1971,15,2110.052906,1958.616236,0.273062255
1971,16,2417.998548,2273.155994,0.261095283
1971,17,2712.70631,2575.290727,0.250773166
1971,18,2931.111005,2804.461982,0.244967182
1972,1,0.828453307,0.217234083,4.527521174
1972,2,3.823138644,1.830085158,2.376780004
1972,3,12.49692408,7.494018813,1.544583338
1972,4,31.02907621,20.99200547,1.127092615
1972,5,63.49807523,45.93552468,0.880134949
1972,6,100.8681792,76.12905638,0.742376883
1972,7,173.6308267,136.7807433,0.619448619
1972,8,293.1355902,238.900907,0.5225399
1972,9,402.4240026,335.0144885,0.470448525
1972,10,606.9099115,518.055545,0.413054195
1972,11,813.9374529,708.5242465,0.378119508
1972,12,999.6921003,883.5191794,0.351305747
1972,13,1502.044166,1348.49707,0.305908482
1972,14,1755.976472,1610.038302,0.289705831
1972,15,2090.61052,1937.589178,0.273977544
1972,16,2409.137813,2261.433479,0.261497937
1972,17,2717.119418,2576.183514,0.250735201
1972,18,2948.300405,2817.884093,0.24460436
1972,19,3199.314608,3080.079351,0.237444104
1973,1,0.865262748,0.226397393,4.461615416
1973,2,3.813705205,1.828780098,2.385863882
1973,3,12.90529448,7.760594765,1.527895827
1973,4,32.41022807,21.9369075,1.112367944
1973,5,58.86603114,42.43797382,0.904027066
1973,6,103.3713874,77.68070882,0.741537292
1973,7,165.1967181,129.0274008,0.628581396
1973,8,272.5109556,219.9505913,0.53486839
1973,9,432.9000788,361.1461433,0.460165714
1973,10,577.0706844,490.523606,0.41892561
1973,11,837.1424048,725.2524139,0.372622336
1973,12,1064.444427,940.8359194,0.346529288
1973,13,1252.620858,1125.020329,0.326094635
1973,14,1836.883144,1681.874429,0.285685457
1973,15,2065.496065,1911.228448,0.275161604
1973,16,2395.031695,2244.630033,0.262093282
1973,17,2717.475711,2573.015518,0.250820603
1973,18,2963.13553,2828.801861,0.244309613
1973,19,3224.385278,3101.075236,0.236943173
1973,20,3376.33277,3264.531851,0.234816442
1974,1,0.974834618,0.253003012,4.331993463
1974,2,4.00528699,1.920976927,2.343136232
1974,3,12.79420614,7.713517286,1.532843162
1974,4,33.28857133,22.57169568,1.101875115
1974,5,61.45970636,44.29765045,0.892429983
